Subset,Label,Video Name,Frame Number,Timestamp (s),Image Path,Preprocessed Image
train,Adult Content,10h30.tong106thaithinh_7224744031518035205,0,0.0,extracted_frames\train\Adult Content\10h30.tong106thaithinh_7224744031518035205_frame_0.jpg,[0.4        0.34509804 0.35294118 ... 0.17254902 0.11764706 0.12156863]
train,Adult Content,10h30.tong106thaithinh_7224744031518035205,360,12.0,extracted_frames\train\Adult Content\10h30.tong106thaithinh_7224744031518035205_frame_360.jpg,[0.61568627 0.54509804 0.52156863 ... 0.79607843 0.76862745 0.73333333]
train,Adult Content,1991.music.dj_7053983190456765722,0,0.0,extracted_frames\train\Adult Content\1991.music.dj_7053983190456765722_frame_0.jpg,[0.69019608 0.01568627 0.26666667 ... 0.14117647 0.         0.06666667]
train,Adult Content,199namm_7254949499859225861,0,0.0,extracted_frames\train\Adult Content\199namm_7254949499859225861_frame_0.jpg,[0.45490196 0.40392157 0.36862745 ... 0.43921569 0.21960784 0.16078431]
train,Adult Content,1life.anthonyblane_7283159583516790021,0,0.0,extracted_frames\train\Adult Content\1life.anthonyblane_7283159583516790021_frame_0.jpg,[0.24313725 0.19607843 0.30588235 ... 0.23921569 0.21176471 0.45098039]
train,Adult Content,1life.anthonyblane_7283159583516790021,360,12.0,extracted_frames\train\Adult Content\1life.anthonyblane_7283159583516790021_frame_360.jpg,[0.20392157 0.12941176 0.25882353 ... 0.15686275 0.07058824 0.18431373]
train,Adult Content,1life.anthonyblane_7325491930031328517,0,0.0,extracted_frames\train\Adult Content\1life.anthonyblane_7325491930031328517_frame_0.jpg,[0.4745098  0.32941176 0.39215686 ... 0.17254902 0.09019608 0.08627451]
train,Adult Content,1life.anthonyblane_7325491930031328517,360,12.0,extracted_frames\train\Adult Content\1life.anthonyblane_7325491930031328517_frame_360.jpg,[0.44313725 0.25882353 0.22745098 ... 0.18823529 0.10980392 0.10588235]
train,Adult Content,1life.anthonyblane_7349106675585928456,0,0.0,extracted_frames\train\Adult Content\1life.anthonyblane_7349106675585928456_frame_0.jpg,[0.12156863 0.00392157 0.50196078 ... 0.29411765 0.22745098 0.57647059]
train,Adult Content,1life.anthonyblane_7349106675585928456,360,12.0,extracted_frames\train\Adult Content\1life.anthonyblane_7349106675585928456_frame_360.jpg,[0.01960784 0.         0.78431373 ... 0.50588235 0.49803922 0.57254902]
train,Adult Content,1life.anthonyblane_7352444832087870727,0,0.0,extracted_frames\train\Adult Content\1life.anthonyblane_7352444832087870727_frame_0.jpg,[0.01960784 0.         0.2745098  ... 0.31764706 0.3372549  0.45882353]
train,Adult Content,1life.anthonyblane_7352444832087870727,360,12.0,extracted_frames\train\Adult Content\1life.anthonyblane_7352444832087870727_frame_360.jpg,[0.05490196 0.0627451  0.06666667 ... 0.01176471 0.04313725 0.04313725]
train,Adult Content,1life.anthonyblane_7352444832087870727,720,24.0,extracted_frames\train\Adult Content\1life.anthonyblane_7352444832087870727_frame_720.jpg,[0.28235294 0.10196078 0.42745098 ... 0.09803922 0.         0.21960784]
train,Adult Content,1life.anthonyblane_7352444832087870727,1080,36.0,extracted_frames\train\Adult Content\1life.anthonyblane_7352444832087870727_frame_1080.jpg,[0.0745098  0.02352941 0.05490196 ... 0.09803922 0.04705882 0.10196078]
train,Adult Content,1life.anthonyblane_7352444832087870727,1440,48.0,extracted_frames\train\Adult Content\1life.anthonyblane_7352444832087870727_frame_1440.jpg,[0.02745098 0.         0.01176471 ... 0.02745098 0.         0.01960784]
train,Adult Content,1life.anthonyblane_7355844029520694546,0,0.0,extracted_frames\train\Adult Content\1life.anthonyblane_7355844029520694546_frame_0.jpg,[0.16862745 0.16078431 0.12156863 ... 0.75294118 0.81176471 0.84705882]
train,Adult Content,1life.anthonyblane_7355844029520694546,360,12.0,extracted_frames\train\Adult Content\1life.anthonyblane_7355844029520694546_frame_360.jpg,[0.15294118 0.14509804 0.10588235 ... 0.22745098 0.30196078 0.35294118]
train,Adult Content,1life.anthonyblane_7367371402330000658,0,0.0,extracted_frames\train\Adult Content\1life.anthonyblane_7367371402330000658_frame_0.jpg,[0. 0. 0. ... 0. 0. 0.]
train,Adult Content,1life.anthonyblane_7367371402330000658,360,12.0,extracted_frames\train\Adult Content\1life.anthonyblane_7367371402330000658_frame_360.jpg,[0.02352941 0.18039216 0.01960784 ... 0.04313725 0.0745098  0.03529412]
train,Adult Content,1life.anthonyblane_7368846422709521671,0,0.0,extracted_frames\train\Adult Content\1life.anthonyblane_7368846422709521671_frame_0.jpg,[0.41568627 0.15294118 0.14901961 ... 0.48627451 0.16078431 0.16862745]
train,Adult Content,79.q.t_7304113372805467393,0,0.0,extracted_frames\train\Adult Content\79.q.t_7304113372805467393_frame_0.jpg,[0. 0. 0. ... 0. 0. 0.]
train,Adult Content,79.q.t_7304113372805467393,360,12.0,extracted_frames\train\Adult Content\79.q.t_7304113372805467393_frame_360.jpg,[0. 0. 0. ... 0. 0. 0.]
train,Adult Content,aaadulthealth_7265173082145295634,0,0.0,extracted_frames\train\Adult Content\aaadulthealth_7265173082145295634_frame_0.jpg,[0.76862745 0.61176471 0.50196078 ... 0.80784314 0.85882353 0.94509804]
train,Adult Content,aaadulthealth_7265173082145295634,360,12.0,extracted_frames\train\Adult Content\aaadulthealth_7265173082145295634_frame_360.jpg,[0.80392157 0.64705882 0.5372549  ... 0.78039216 0.83529412 0.90980392]
train,Adult Content,aaadulthealth_7265173082145295634,720,24.0,extracted_frames\train\Adult Content\aaadulthealth_7265173082145295634_frame_720.jpg,[0.80784314 0.64705882 0.54901961 ... 0.79215686 0.84705882 0.93333333]
train,Adult Content,aaadulthealth_7265173082145295634,1080,36.0,extracted_frames\train\Adult Content\aaadulthealth_7265173082145295634_frame_1080.jpg,[0.81568627 0.6627451  0.55294118 ... 0.76862745 0.82352941 0.90980392]
train,Adult Content,abbies.luck_7248443415472377096,0,0.0,extracted_frames\train\Adult Content\abbies.luck_7248443415472377096_frame_0.jpg,[0.37254902 0.         0.05490196 ... 0.25490196 0.07058824 0.27058824]
train,Adult Content,abbies.luck_7248443415472377096,360,12.0,extracted_frames\train\Adult Content\abbies.luck_7248443415472377096_frame_360.jpg,[0.21960784 0.04705882 0.19215686 ... 0.15294118 0.01960784 0.29803922]
train,Adult Content,abbies.luck_7248443415472377096,720,24.0,extracted_frames\train\Adult Content\abbies.luck_7248443415472377096_frame_720.jpg,[0.05882353 0.32941176 0.04313725 ... 0.01176471 0.17647059 0.01568627]
train,Adult Content,abbies.luck_7248443415472377096,1080,36.0,extracted_frames\train\Adult Content\abbies.luck_7248443415472377096_frame_1080.jpg,[0.38431373 0.30588235 0.60784314 ... 0.58431373 0.45098039 0.59607843]
train,Adult Content,abbies.luck_7248443415472377096,1440,48.0,extracted_frames\train\Adult Content\abbies.luck_7248443415472377096_frame_1440.jpg,[0.30980392 0.21568627 0.16862745 ... 0.29803922 0.20392157 0.18039216]
train,Adult Content,actress.lanhuong_7341244326720113938,0,0.0,extracted_frames\train\Adult Content\actress.lanhuong_7341244326720113938_frame_0.jpg,[0. 0. 0. ... 0. 0. 0.]
train,Adult Content,actress.lanhuong_7341244326720113938,360,12.0,extracted_frames\train\Adult Content\actress.lanhuong_7341244326720113938_frame_360.jpg,[0.14901961 0.17647059 0.16470588 ... 0.0627451  0.07843137 0.05882353]
train,Adult Content,akytube231206_6948939267137670402,0,0.0,extracted_frames\train\Adult Content\akytube231206_6948939267137670402_frame_0.jpg,[0.00784314 0.00392157 0.01176471 ... 0.00784314 0.00392157 0.01960784]
train,Adult Content,alalanka_6960360541252553990,0,0.0,extracted_frames\train\Adult Content\alalanka_6960360541252553990_frame_0.jpg,[0.85098039 0.80784314 0.81568627 ... 0.12156863 0.07843137 0.0627451 ]
train,Adult Content,aleks.sn_7321082945224084768,0,0.0,extracted_frames\train\Adult Content\aleks.sn_7321082945224084768_frame_0.jpg,[0.77647059 0.67843137 0.48235294 ... 0.45098039 0.66666667 0.81176471]
train,Adult Content,aleks.sn_7321082945224084768,360,12.0,extracted_frames\train\Adult Content\aleks.sn_7321082945224084768_frame_360.jpg,[0.0627451  0.05098039 0.03137255 ... 0.07058824 0.05882353 0.03921569]
train,Adult Content,aleks.sn_7321082945224084768,720,24.0,extracted_frames\train\Adult Content\aleks.sn_7321082945224084768_frame_720.jpg,[0.00392157 0.00784314 0.08627451 ... 0.04705882 0.         0.50980392]
train,Adult Content,aleks.sn_7348451627688267041,0,0.0,extracted_frames\train\Adult Content\aleks.sn_7348451627688267041_frame_0.jpg,[0.02352941 0.02352941 0.02352941 ... 0.03921569 0.03921569 0.03921569]
train,Adult Content,aliyevasim_7193744396246977794,0,0.0,extracted_frames\train\Adult Content\aliyevasim_7193744396246977794_frame_0.jpg,[0. 0. 0. ... 0. 0. 0.]
train,Adult Content,allaboutmikeworld_7343681661374156037,0,0.0,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_0.jpg,[0.02745098 0.00784314 0.01568627 ... 0.03137255 0.01176471 0.01960784]
train,Adult Content,allaboutmikeworld_7343681661374156037,359,11.978645311978646,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_359.jpg,[0.98431373 0.89019608 0.88235294 ... 1.         0.99215686 0.99215686]
train,Adult Content,allaboutmikeworld_7343681661374156037,718,23.95729062395729,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_718.jpg,[0.18823529 0.1254902  0.4        ... 0.15294118 0.10980392 0.39607843]
train,Adult Content,allaboutmikeworld_7343681661374156037,1077,35.93593593593594,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_1077.jpg,[0.19607843 0.14117647 0.15686275 ... 0.21568627 0.19607843 0.49019608]
train,Adult Content,allaboutmikeworld_7343681661374156037,1436,47.91458124791458,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_1436.jpg,[0.3254902  0.23921569 0.19607843 ... 0.01568627 0.         0.04313725]
train,Adult Content,allaboutmikeworld_7343681661374156037,1795,59.89322655989323,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_1795.jpg,[0.84313725 0.3372549  0.41960784 ... 0.05098039 0.02352941 0.04313725]
train,Adult Content,allaboutmikeworld_7343681661374156037,2154,71.87187187187187,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_2154.jpg,[0.18823529 0.1372549  0.16862745 ... 0.21960784 0.2        0.49411765]
train,Adult Content,allaboutmikeworld_7343681661374156037,2513,83.85051718385051,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_2513.jpg,[0.35686275 0.         0.08235294 ... 0.62352941 0.00392157 0.14901961]
train,Adult Content,allaboutmikeworld_7343681661374156037,2872,95.82916249582917,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_2872.jpg,[0.19215686 0.14901961 0.15686275 ... 0.20784314 0.18431373 0.49411765]
train,Adult Content,allaboutmikeworld_7343681661374156037,3231,107.8078078078078,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_3231.jpg,[0.11372549 0.         0.05882353 ... 0.00784314 0.         0.        ]
train,Adult Content,allaboutmikeworld_7343681661374156037,3590,119.78645311978646,extracted_frames\train\Adult Content\allaboutmikeworld_7343681661374156037_frame_3590.jpg,[0.19215686 0.14509804 0.15686275 ... 0.21568627 0.2        0.49411765]
